id,gender_x,masterCategory_x,subCategory_x,articleType_x,baseColour_x,season_x,year_x,usage_x,productDisplayName_x,Unnamed: 0,gender_y,masterCategory_y,subCategory_y,articleType_y,baseColour_y,season_y,year_y,usage_y,productDisplayName_y,price,url
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,70,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,2148.75,http://assets.myntassets.com/v1/images/style/properties/73bc7d63943231e4df1c7b7600496a3d_images.jpg
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,103,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,365.49,http://assets.myntassets.com/v1/images/style/properties/5059a8f382c53105f1bdce6780543934_images.jpg
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,116,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,2992,http://assets.myntassets.com/v1/images/style/properties/e5b0ca8a3d69ff5f0d6e2d9303705eb9_images.jpg
48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet,150,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet,2199.85,http://assets.myntassets.com/v1/images/style/properties/551485ddc5fa42d1734898e3b32e72c0_images.jpg
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016,Casual,Louis Philippe Men Grey Sunglasses,173,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016,Casual,Louis Philippe Men Grey Sunglasses,121.99,http://assets.myntassets.com/v1/images/style/properties/Louis-Philippe-Men-Grey-Sunglasses_1446c537f905743abebac42f5a02f776_images.jpg
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe,176,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe,192.49,http://assets.myntassets.com/v1/images/style/properties/ef0e264ebd347265da9fcf1bdff4b2f5_images.jpg
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole,195,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole,2976.85,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Maroon-Bra_c75c0ad76e53ba58736e6f8fd21d07b0_images.jpg
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris,214,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris,1570.85,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,2012,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,216,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,2012,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,604.9,http://assets.myntassets.com/v1/images/style/properties/97b4da7324d9f9b3a6f507333141faae_images.jpg
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Puma Men's YugoRun Black White Shoe,231,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Puma Men's YugoRun Black White Shoe,1955.95,http://assets.myntassets.com/v1/images/style/properties/fae0ae76d008674551fbdbb64988ea51_images.jpg
53766,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Puma Men White and Navy Blue T-shirt,233,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Puma Men White and Navy Blue T-shirt,2677,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-White-and-Navy-Blue-Stripe-Polo-T-shirt_a81acd98afcadd66fa8ee8531c82ad46_images.jpg
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men White Capri II Casual Shoe,252,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men White Capri II Casual Shoe,1614.75,http://assets.myntassets.com/v1/images/style/properties/9f8463e724322e0b47cc9f615acab635_images.jpg
19578,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Top,261,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Top,949.49,http://assets.myntassets.com/v1/images/style/properties/97d87b20b1a8810ee10f617a8a7ccc52_images.jpg
18698,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,273,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,2317.25,http://assets.myntassets.com/v1/images/style/properties/Hanes-Men-Ultimate-Grey-Brief_0782bb329d30535e2a3bef5657940458_images.jpg
44725,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,2012,Casual,Lotto Women Coral Elegant Flip Flops,283,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,2012,Casual,Lotto Women Coral Elegant Flip Flops,2336.25,http://assets.myntassets.com/v1/images/style/properties/839c627c80dba9ac4412db3f35a52bb7_images.jpg
55001,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017,,Lakme Absolute Lip Last Day Kiss Lip Colour,292,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017,,Lakme Absolute Lip Last Day Kiss Lip Colour,1944.99,http://assets.myntassets.com/assets/images/55001/2018/3/9/11520591701090-Lakme-Absolute-Lip-Last-Day-Kiss-Lip-Colour-9831520591701048-1.jpg
11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors Of Benetton Men Summer Black Shirts,314,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors Of Benetton Men Summer Black Shirts,2703.49,http://assets.myntassets.com/v1/images/style/properties/79e693b484848f12265b4dd4a155fae9_images.jpg
37481,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Esprit Women White Dial Watch,317,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Esprit Women White Dial Watch,2534,http://assets.myntassets.com/v1/images/style/properties/8fa9232495f9cad5e31338c61f615afb_images.jpg
51693,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,Van Heusen Unisex Brown Sunglasses,322,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,Van Heusen Unisex Brown Sunglasses,1885.75,http://assets.myntassets.com/v1/images/style/properties/Van-Heusen-Unisex-Brown-Sunglasses_2099ffb4f8eb9fd28b80922f653aa42a_images.jpg
17086,Women,Accessories,Wallets,Wallets,Orange,Winter,2015,Casual,Lino Perros Women Blue Zip Orange Wallet,330,Women,Accessories,Wallets,Wallets,Orange,Winter,2015,Casual,Lino Perros Women Blue Zip Orange Wallet,897.49,http://assets.myntassets.com/v1/images/style/properties/9cad6be03b1e0b544055e140b526cb94_images.jpg
