,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,price
29660,40435,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Tonga Women Multi Colored Top,860.9
16781,18612,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men Team SS Black Tshirts,1206.9
18553,21998,Women,Accessories,Bags,Handbags,Blue,Winter,2015.0,Casual,Murcia Women Casual Blue Handbag,985.25
10192,25235,Women,Accessories,Bags,Backpacks,Blue,Winter,2015.0,Casual,Lino Perros Women Blue Backpacks,2203.75
11749,8078,Men,Footwear,Sandal,Sandals,Blue,Fall,2011.0,Casual,ADIDAS Men Zeitfrei Slide Sc Blue Sandals,35.25
43836,45029,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Men Black Digital Watch,1558.49
34140,52323,Women,Accessories,Jewellery,Bangle,White,Winter,2016.0,Casual,ToniQ Women Off White Bangle,2221.99
37730,18991,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Originals Men Grinball Black Tshirt,983.75
36215,7066,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Sports,Nike Unisex Team Training Black Blue Backpack,10.9
31124,56161,Women,Personal Care,Eyes,Kajal and Eyeliner,Brown,Spring,2017.0,Casual,Colorbar I-Glide Cocobar Eye Pencil 02,2300.75
2907,27624,Men,Apparel,Bottomwear,Shorts,Cream,Summer,2012.0,Casual,Scullers Men Cream Shorts,2596.95
8708,51779,Women,Apparel,Innerwear,Briefs,Green,Summer,2016.0,Casual,Bwitch Women Green Brief,1205.0
20944,4702,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Sports,ADIDAS Unisex Toronto 3-Hand Black Watch,2783.95
22179,57921,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Fruit of the Loom Men Black Pack of Three Socks,1918.25
1219,47162,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Peter England Men Brown Belt,1835.9
8508,22075,Women,Apparel,Topwear,Kurtas,Off White,Fall,2011.0,Ethnic,Vishudh Women Self Printed Off White Kurta,1799.25
27198,6418,Men,Footwear,Flip Flops,Flip Flops,Grey,Summer,2011.0,Casual,Lotto Men's Tonga Thong Grey Flip Flop,1031.99
43792,59220,Women,Accessories,Watches,Watches,Gold,Winter,2016.0,Casual,Titan Women Gold Watch,1686.95
25419,11115,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Indigo Nation Men Check Purple Shirts,2120.99
21983,4162,Women,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Inkfruit Women's To do List Sea Green T-shirt,407.25
5841,25603,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Black Casual Watch,1585.75
14198,28358,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Men Black Sunglasses,2804.85
26285,15319,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2011.0,Casual,Nike Men Solid Navy Blue Jackets,2014.0
43141,50992,Women,Apparel,Loungewear and Nightwear,Nightdress,Beige,Summer,2017.0,Casual,Enamor Women Beige Nightdress,2272.75
39446,12520,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018.0,Casual,Red Tape Men Black Shoes,2769.5
32404,58294,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,1450.95
15107,4223,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Probase Men's 8 Green T-shirt,2927.75
26869,39180,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Aneri Women Black Kurta,2869.25
