id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,price
40435,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Tonga Women Multi Colored Top,860.9
18612,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men Team SS Black Tshirts,1206.9
21998,Women,Accessories,Bags,Handbags,Blue,Winter,2015,Casual,Murcia Women Casual Blue Handbag,985.25
25235,Women,Accessories,Bags,Backpacks,Blue,Winter,2015,Casual,Lino Perros Women Blue Backpacks,2203.75
8078,Men,Footwear,Sandal,Sandals,Blue,Fall,2011,Casual,ADIDAS Men Zeitfrei Slide Sc Blue Sandals,35.25
45029,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Digital Watch,1558.49
52323,Women,Accessories,Jewellery,Bangle,White,Winter,2016,Casual,ToniQ Women Off White Bangle,2221.99
18991,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Originals Men Grinball Black Tshirt,983.75
7066,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Nike Unisex Team Training Black Blue Backpack,10.9
56161,Women,Personal Care,Eyes,Kajal and Eyeliner,Brown,Spring,2017,Casual,Colorbar I-Glide Cocobar Eye Pencil 02,2300.75
27624,Men,Apparel,Bottomwear,Shorts,Cream,Summer,2012,Casual,Scullers Men Cream Shorts,2596.95
51779,Women,Apparel,Innerwear,Briefs,Green,Summer,2016,Casual,Bwitch Women Green Brief,1205
4702,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Sports,ADIDAS Unisex Toronto 3-Hand Black Watch,2783.95
57921,Men,Accessories,Socks,Socks,Black,Summer,2016,Casual,Fruit of the Loom Men Black Pack of Three Socks,1918.25
47162,Men,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Peter England Men Brown Belt,1835.9
22075,Women,Apparel,Topwear,Kurtas,Off White,Fall,2011,Ethnic,Vishudh Women Self Printed Off White Kurta,1799.25
6418,Men,Footwear,Flip Flops,Flip Flops,Grey,Summer,2011,Casual,Lotto Men's Tonga Thong Grey Flip Flop,1031.99
59220,Women,Accessories,Watches,Watches,Gold,Winter,2016,Casual,Titan Women Gold Watch,1686.95
11115,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Indigo Nation Men Check Purple Shirts,2120.99
4162,Women,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Women's To do List Sea Green T-shirt,407.25
25603,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men Black Casual Watch,1585.75
28358,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Idee Men Black Sunglasses,2804.85
15319,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2011,Casual,Nike Men Solid Navy Blue Jackets,2014
50992,Women,Apparel,Loungewear and Nightwear,Nightdress,Beige,Summer,2017,Casual,Enamor Women Beige Nightdress,2272.75
12520,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018,Casual,Red Tape Men Black Shoes,2769.5
58294,Men,Accessories,Socks,Socks,Black,Summer,2016,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,1450.95
4223,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Probase Men's 8 Green T-shirt,2927.75
39180,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Aneri Women Black Kurta,2869.25
54320,Women,Apparel,Innerwear,Briefs,Pink,Summer,2017,Casual,Garfield Women Pink String Briefs,39.85
13301,Men,Apparel,Bottomwear,Shorts,Beige,Fall,2011,Casual,Gini and Jony Kids Boys Solid Beige Shorts,2040.99
37099,Men,Apparel,Topwear,Tshirts,Green,Summer,2012,Casual,Wills Lifetsyle Men Green Polo T-shirt,1284.99
17223,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,United Colors of Benetton Women Funky Eyewear Black Sunglasses,745
34507,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012,Formal,Franco Leone Men Brown Formal Shoes,2896.5
18998,Unisex,Accessories,Scarves,Scarves,Black,Fall,2011,Casual,ADIDAS Originals Unisex Black Scarf,150
9425,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,John Miller Men Purple Fila-Fil Shirts,2921.95
17746,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Puma Men Excitmo I FG White Sports Shoe,576.99
7822,Women,Footwear,Shoes,Casual Shoes,Grey,Fall,2011,Casual,Puma Women Corsica Mid L Shine Grey Shoe,543.75
40029,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,ADIDAS Men Blue Chelsea FC T-shirt,961.85
20946,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011,Casual,ADIDAS Men Checks Blue Flip Flops,2496.5
13460,Men,Apparel,Topwear,Shirts,Green,Summer,2011,Casual,United Colors of Benetton Men Solid Green Shirts,629
